iso3,country,year,locally_developed_apps_per_person_score
DEU,Germany,2014,93.3341139939196
DEU,Germany,2015,95.1400357140783
DEU,Germany,2016,96.5652469632927
DEU,Germany,2017,97.622964625859
DEU,Germany,2018,96.2681987620533
DEU,Germany,2019,96.7720519590543
DEU,Germany,2020,97.6413277264852
DEU,Germany,2021,99.3060520725559
DEU,Germany,2022,98.9004161800241
DEU,Germany,2023,97.866879804796
DEU,Germany,2024,94.7538990463643
ESP,Spain,2014,90.6758385525499
ESP,Spain,2015,93.3629099601903
ESP,Spain,2016,95.0423546495411
ESP,Spain,2017,96.3598912709521
ESP,Spain,2018,94.0543548131406
ESP,Spain,2019,94.0406424303558
ESP,Spain,2020,94.4571597135601
ESP,Spain,2021,94.3224285002847
ESP,Spain,2022,92.9997887857403
ESP,Spain,2023,92.3035410332197
ESP,Spain,2024,89.3021373377627
EST,Estonia,2014,89.6857644688221
EST,Estonia,2015,92.5711625950251
EST,Estonia,2016,94.6796884803997
EST,Estonia,2017,96.0561089406545
EST,Estonia,2018,95.5593999245506
EST,Estonia,2019,95.6530398961882
EST,Estonia,2020,96.8206873515042
EST,Estonia,2021,98.3441851519519
EST,Estonia,2022,98.9881176610435
EST,Estonia,2023,98.8176767348292
EST,Estonia,2024,96.7273818286103
PRT,Portugal,2014,88.6593931424756
PRT,Portugal,2015,90.786771538034
PRT,Portugal,2016,91.9801817502597
PRT,Portugal,2017,93.2092859535087
PRT,Portugal,2018,91.0308886324223
PRT,Portugal,2019,91.5430478385491
PRT,Portugal,2020,91.9331757803713
PRT,Portugal,2021,91.9974367910379
PRT,Portugal,2022,89.7207903947233
PRT,Portugal,2023,89.2447893987769
PRT,Portugal,2024,86.2357414174761
SGP,Singapore,2014,100
SGP,Singapore,2015,100
SGP,Singapore,2016,100
SGP,Singapore,2017,100
SGP,Singapore,2018,100
SGP,Singapore,2019,100
SGP,Singapore,2020,100
SGP,Singapore,2021,100
SGP,Singapore,2022,100
SGP,Singapore,2023,100
SGP,Singapore,2024,100
